record_id,recorded_at,usage_source,usage_coverage,usage_scope,input_tokens,output_tokens,cache_creation_input_tokens,cache_read_input_tokens,cost_usd,cost_status,reported_cost_usd,estimated_cost_usd,result_path,result_sha256
20260910T012339Z-synthetic-kimi/0008/01,2026-09-10T02:36:59.206Z,result,final,all-models,324410,40591,151969,3248823,,unavailable,5.211042749999998,,results/20260910T012339Z-synthetic-kimi/tasks/0008/trial-01/result.json,a3cb1d7eef82050abe5c9724342acb0d94c411d75eef382266c2a9f608c21c04
20260911T231525Z-synthetic-qwen/0032/01,2026-09-11T23:19:35.443Z,result,final,all-models,80369,28597,80369,642796,,unavailable,1.94047425,,results/20260911T231525Z-synthetic-qwen/tasks/0032/trial-01/result.json,dbb1a61fdde73b8f72fa00e8daa660e94fba13f4245b2fa28862adf3025a58e5
20260912T001120Z-synthetic-qwen/0008/01,2026-09-12T02:11:22.342Z,stream,partial,visible-responses,978456,350558,616883,7289091,,unavailable,,,results/20260912T001120Z-synthetic-qwen/tasks/0008/trial-01/result.json,e4a131292484720563ac778ef094ea02f7adac914e4f744970a974fd6483dae8
opus-pilot5-20260914/0032/01,2026-09-14T21:22:02.774Z,result,final,all-models,1153,2132,17752,108874,0.28665,reported-estimate,0.28665,,results/opus-pilot5-20260914/tasks/0032/trial-01/result.json,2e92385b7672cfeb2a602206a6b849d1474f1859d7cebb9564c66412fa78ce71
opus-pilot5-20260914/0027/01,2026-09-14T21:22:56.259Z,result,final,all-models,1121,3961,12509,88816,0.269696,reported-estimate,0.269696,,results/opus-pilot5-20260914/tasks/0027/trial-01/result.json,89330a177d185bc71683c420a18c837557c965c294f24913c95d90e597bffbc1
opus-pilot5-20260914/0061/01,2026-09-14T21:24:09.323Z,result,final,all-models,1153,6047,16134,123808,0.375812,reported-estimate,0.375812,,results/opus-pilot5-20260914/tasks/0061/trial-01/result.json,3c5eccdb486815745a6ecb063c1deeb31be940fd03960c1b68f6daa6b4953035
opus-pilot5-20260914/0026/01,2026-09-14T21:25:06.205Z,result,final,all-models,1153,4037,12221,117135,0.2830355,reported-estimate,0.2830355,,results/opus-pilot5-20260914/tasks/0026/trial-01/result.json,82131cbdbab4f1ef0f744ebe071a8b2084c267bded6fbf87a31be834da47fb59
opus-pilot5-20260914/0033/01,2026-09-14T21:25:26.954Z,result,final,all-models,1089,1340,7356,60347,0.1382465,reported-estimate,0.1382465,,results/opus-pilot5-20260914/tasks/0033/trial-01/result.json,96103927a2e91ba387a62174d03904b2db505a8314912603c23d8d5ffaede2d7
kimi-pilot5-20260914/0032/01,2026-09-14T21:28:38.184Z,result,final,all-models,15381,569,15381,32841,,unavailable,0.20368175000000002,,results/kimi-pilot5-20260914/tasks/0032/trial-01/result.json,88f553526bd9b985cd1bd1d41bc05dd926afb48f0831f6e4da049ce62c00a1ff
kimi-pilot5-20260914/0027/01,2026-09-14T21:36:07.334Z,result,final,all-models,28240,7423,20054,101648,,unavailable,0.5029364999999999,,results/kimi-pilot5-20260914/tasks/0027/trial-01/result.json,666a6f0dcdb95ca832030e0cbefd7375ce3b30cd1627a6b05d4f8a952c30f0e1
